date;AAPL;GE;GME;PG;TSLA
2001-04-19;0.1285650879144669;0.01294631324708462;;0.02664110623300076;
2001-04-20;-0.02643850818276405;-0.008451863192021847;;-0.0162822101265192;
2001-04-23;-0.03154955431818962;-0.01871097087860107;;0.0008620558073744178;
2001-04-24;-0.0090721370652318;-0.02563557401299477;;-0.02428940311074257;
2001-04-25;0.02871404960751534;0.03957381099462509;;0.01624297350645065;
2001-04-26;-0.001213542884215713;0.03116498328745365;;0.01285611279308796;
2001-04-27;0.06115837022662163;0.01318461541086435;;0.02624361217021942;
2001-04-30;-0.02709927409887314;-0.0284284669905901;;0.003677041502669454;
2001-05-01;0.0172616932541132;0.00783023051917553;;0.06877604126930237;
2001-05-02;0.02545313723385334;0.003884657984599471;;-0.0004674163064919412;
2001-05-03;-0.06130127981305122;-0.01221992820501328;;0.001870539621450007;
